name,description,external_url,image,animation_url,item_category,item_compatibility,unlockable_content_link,address
MOD Jumper Top,Red Jumper Top with MOD logo.,https://www.getmod.art/,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/MOD%20Jumper%20Top.png,,Shirt,Roblox,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/MOD%20Jumper%20Top.png,1+
MOD Jumper Bottom,Red Jumper Bottom with MOD logo.,https://www.getmod.art/,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/MOD%20Jumper%20Bottom.png,,Bottom,Roblox,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/MOD%20Jumper%20Bottom.png,1+
Propeller Hat,Propeller Hat ready for avatars,https://www.getmod.art/,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/Images/Propeller%20Hat.PNG,https://github.com/mintondemand/design-club-beta/raw/main/wearables/3D%20Models/Propeller%20Hat.glb,Headwear,Daz3D,https://github.com/mintondemand/design-club-beta/raw/main/wearables/3D%20Models/Propeller%20Hat.glb,2+
MOD CatWalk,Catwalk Video for Marketing ,https://www.getmod.art/,https://raw.githubusercontent.com/mintondemand/design-club-beta/main/wearables/Images/MOD%20CatWalk.PNG,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Video/PUNK%20NFT%20Square.mp4,Garment,,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Video/PUNK%20NFT%20Square.mp4,3+
